Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,2.7e-06,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.02
Vertical Position,-1.98,-1.88
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.300e-06,0.0222656,0.00336875
-2.299e-06,0.0222656,0.0060875
-2.298e-06,0.0182031,0.00512812
-2.297e-06,0.0302344,0.00672812
-2.296e-06,0.0222656,0.00832812
-2.295e-06,0.0182031,0.00880625
-2.294e-06,0.02625,0.00992812
-2.293e-06,0.0222656,0.011525
-2.292e-06,0.02625,0.00672812
-2.291e-06,0.0302344,0.0036875
-2.290e-06,0.02625,0.00256875
-2.289e-06,0.02625,0.00416875
-2.288e-06,0.02625,0.00656875
-2.287e-06,0.0222656,0.00800625
-2.286e-06,0.02625,0.00640625
-2.285e-06,0.0222656,0.0036875
-2.284e-06,0.0182031,0.00592812
-2.283e-06,0.0342187,0.0076875
-2.282e-06,0.0302344,0.00672812
-2.281e-06,0.0302344,0.00752812
-2.280e-06,0.02625,0.00720625
-2.279e-06,0.02625,0.00560625
-2.278e-06,0.02625,0.00912812
-2.277e-06,0.0222656,0.0068875
-2.276e-06,0.0302344,0.0060875
-2.275e-06,0.0222656,0.0060875
-2.274e-06,0.0222656,0.00720625
-2.273e-06,0.02625,0.0100875
-2.272e-06,0.0222656,0.00752812
-2.271e-06,0.0142187,0.00784687
-2.270e-06,0.0222656,0.00880625
-2.269e-06,0.02625,0.0060875
-2.268e-06,0.0302344,0.0060875
-2.267e-06,0.02625,0.00592812
-2.266e-06,0.0302344,0.00576875
-2.265e-06,0.02625,0.00752812
-2.264e-06,0.02625,0.0060875
-2.263e-06,0.02625,0.0028875
-2.262e-06,0.0222656,0.0052875
-2.261e-06,0.0342187,0.00544687
-2.260e-06,0.02625,0.00624687
-2.259e-06,0.02625,0.00320937
-2.258e-06,0.0142187,0.0052875
-2.257e-06,0.0302344,0.0068875
-2.256e-06,0.0222656,0.00464687
-2.255e-06,0.0182031,0.00544687
-2.254e-06,0.0222656,0.0068875
-2.253e-06,0.0222656,0.00624687
-2.252e-06,0.0342187,0.00752812
-2.251e-06,0.0302344,0.00800625
-2.250e-06,0.02625,0.00352812
-2.249e-06,0.0302344,0.00560625
-2.248e-06,0.0222656,0.00896562
-2.247e-06,0.02625,0.0068875
-2.246e-06,0.0222656,0.0100875
-2.245e-06,0.0302344,0.00672812
-2.244e-06,0.0302344,0.00544687
-2.243e-06,0.0222656,0.00640625
-2.242e-06,0.0302344,0.00592812
-2.241e-06,0.0222656,0.00336875
-2.240e-06,0.02625,0.00736875
-2.239e-06,0.02625,0.00864687
-2.238e-06,0.0222656,0.0076875
-2.237e-06,0.0222656,0.00832812
-2.236e-06,0.0302344,0.00976562
-2.235e-06,0.02625,0.00640625
-2.234e-06,0.02625,0.0060875
-2.233e-06,0.02625,0.00480937
-2.232e-06,0.0222656,0.00320937
-2.231e-06,0.0222656,0.00480937
-2.230e-06,0.02625,0.00944687
