Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG,
-2.229e-06,0.0342187,0.0068875
-2.228e-06,0.02625,0.00960625
-2.227e-06,0.02625,0.00896562
-2.226e-06,0.02625,0.0076875
-2.225e-06,0.02625,0.00784687
-2.224e-06,0.0222656,0.00656875
-2.223e-06,0.02625,0.00656875
-2.222e-06,0.0222656,0.0068875
-2.221e-06,0.0302344,0.00544687
-2.220e-06,0.02625,0.00576875
-2.219e-06,0.0302344,0.00640625
-2.218e-06,0.0302344,0.00736875
-2.217e-06,0.0302344,0.0060875
-2.216e-06,0.0222656,0.00912812
-2.215e-06,0.0302344,0.00864687
-2.214e-06,0.0302344,0.00784687
-2.213e-06,0.0302344,0.00480937
-2.212e-06,0.0302344,0.00336875
-2.211e-06,0.02625,0.00736875
-2.210e-06,0.0222656,0.00944687
-2.209e-06,0.02625,0.00304687
-2.208e-06,0.0222656,0.00576875
-2.207e-06,0.02625,0.00544687
-2.206e-06,0.02625,0.00880625
-2.205e-06,0.02625,0.00784687
-2.204e-06,0.02625,0.00464687
-2.203e-06,0.0222656,0.00592812
-2.202e-06,0.0182031,0.00976562
-2.201e-06,0.0302344,0.0092875
-2.200e-06,0.02625,0.00816562
-2.199e-06,0.0302344,0.00624687
-2.198e-06,0.0222656,0.0068875
-2.197e-06,0.02625,0.0076875
-2.196e-06,0.02625,0.00864687
-2.195e-06,0.0222656,0.00880625
-2.194e-06,0.0222656,0.00512812
-2.193e-06,0.0222656,0.00624687
-2.192e-06,0.02625,0.00672812
-2.191e-06,0.0222656,0.0092875
-2.190e-06,0.0222656,0.00752812
-2.189e-06,0.0302344,0.00864687
-2.188e-06,0.0222656,0.00896562
-2.187e-06,0.02625,0.00976562
-2.186e-06,0.02625,0.00672812
-2.185e-06,0.02625,0.00800625
-2.184e-06,0.0222656,0.00576875
-2.183e-06,0.0302344,0.0060875
-2.182e-06,0.02625,0.0092875
-2.181e-06,0.02625,0.0100875
-2.180e-06,0.0222656,0.00880625
-2.179e-06,0.02625,0.00720625
-2.178e-06,0.0302344,0.00672812
-2.177e-06,0.02625,0.0068875
-2.176e-06,0.0302344,0.0068875
-2.175e-06,0.0182031,0.00576875
-2.174e-06,0.02625,0.00544687
-2.173e-06,0.02625,0.00624687
-2.172e-06,0.02625,0.00736875
-2.171e-06,0.0302344,0.00704687
-2.170e-06,0.0302344,0.00784687
-2.169e-06,0.02625,0.0060875
-2.168e-06,0.02625,0.00736875
-2.167e-06,0.02625,0.00464687
-2.166e-06,0.0222656,0.0060875
-2.165e-06,0.0302344,0.00880625
-2.164e-06,0.0222656,0.00416875
-2.163e-06,0.02625,0.00560625
-2.162e-06,0.0222656,0.00624687
-2.161e-06,0.0222656,0.00800625
-2.160e-06,0.0302344,0.00512812
-2.159e-06,0.02625,0.00592812
-2.158e-06,0.0302344,0.00784687
-2.157e-06,0.0302344,0.00880625
-2.156e-06,0.0182031,0.00832812
-2.155e-06,0.0302344,0.010725
-2.154e-06,0.0302344,0.00432812
-2.153e-06,0.02625,0.00464687
-2.152e-06,0.02625,0.00624687
-2.151e-06,0.0182031,0.00864687
-2.150e-06,0.0302344,0.00704687
-2.149e-06,0.0222656,0.00816562
-2.148e-06,0.0182031,0.00752812
-2.147e-06,0.0222656,0.00784687
-2.146e-06,0.0182031,0.00720625
-2.145e-06,0.02625,0.0052875
-2.144e-06,0.02625,0.00736875
-2.143e-06,0.0142187,0.00784687
-2.142e-06,0.02625,0.00560625
-2.141e-06,0.02625,0.00704687
-2.140e-06,0.0222656,0.00784687
-2.139e-06,0.02625,0.00656875
-2.138e-06,0.0302344,0.0092875
-2.137e-06,0.0222656,0.00912812
-2.136e-06,0.02625,0.0076875
-2.135e-06,0.0222656,0.00704687
-2.134e-06,0.0182031,0.00784687
-2.133e-06,0.0222656,0.00784687
-2.132e-06,0.0302344,0.00736875
-2.131e-06,0.02625,0.0060875
-2.130e-06,0.0182031,0.0060875
-2.129e-06,0.0222656,0.00672812
-2.128e-06,0.0222656,0.00800625
-2.127e-06,0.02625,0.0092875
-2.126e-06,0.0222656,0.0150469
-2.125e-06,0.02625,0.0105656
-2.124e-06,0.0222656,0.00784687
-2.123e-06,0.02625,0.000809375
-2.122e-06,0.0222656,0.00304687
-2.121e-06,0.0222656,0.00752812
-2.120e-06,0.02625,0.0076875
-2.119e-06,0.0182031,0.00992812
-2.118e-06,0.02625,0.00864687
-2.117e-06,0.0182031,0.0108875
-2.116e-06,0.02625,0.00560625
-2.115e-06,0.0222656,-0.00110937
-2.114e-06,0.02625,0.0028875
-2.113e-06,0.0222656,0.00912812
-2.112e-06,0.0302344,0.011525
-2.111e-06,0.0302344,0.0110469
-2.110e-06,0.02625,0.00384687
-2.109e-06,0.02625,0.00416875
-2.108e-06,0.02625,0.00624687
-2.107e-06,0.0222656,0.0084875
-2.106e-06,0.0222656,0.00560625
-2.105e-06,0.0222656,0.00864687
-2.104e-06,0.02625,0.013125
-2.103e-06,0.0182031,0.0105656
-2.102e-06,0.0182031,0.00480937
-2.101e-06,0.02625,-0.00207187
-2.100e-06,0.0142187,0.00016875
-2.099e-06,0.0222656,0.00464687
-2.098e-06,0.02625,0.0112062
-2.097e-06,0.02625,0.00992812
-2.096e-06,0.0182031,0.00592812
-2.095e-06,0.02625,0.00752812
-2.094e-06,0.0222656,0.00832812
-2.093e-06,0.0302344,0.00816562
-2.092e-06,0.0222656,0.00560625
-2.091e-06,0.0142187,0.00480937
-2.090e-06,0.0222656,0.00512812
-2.089e-06,0.0182031,0.00720625
-2.088e-06,0.0182031,0.0084875
-2.087e-06,0.0222656,0.00432812
-2.086e-06,0.0302344,0.0060875
-2.085e-06,0.0302344,0.00720625
-2.084e-06,0.0222656,0.00816562
-2.083e-06,0.0222656,0.00656875
-2.082e-06,0.02625,0.00816562
-2.081e-06,0.0302344,0.00736875
-2.080e-06,0.0182031,0.00464687
-2.079e-06,0.02625,0.00512812
-2.078e-06,0.0182031,0.00672812
-2.077e-06,0.0342187,0.00512812
-2.076e-06,0.0222656,0.0076875
-2.075e-06,0.0222656,0.00800625
-2.074e-06,0.0222656,0.00496875
-2.073e-06,0.0222656,0.00496875
-2.072e-06,0.02625,0.00432812
-2.071e-06,0.0182031,0.00704687
-2.070e-06,0.0182031,0.00576875
-2.069e-06,0.02625,0.0060875
-2.068e-06,0.0302344,0.00480937
-2.067e-06,0.0182031,0.0102469
-2.066e-06,0.02625,0.00624687
-2.065e-06,0.02625,0.0084875
-2.064e-06,0.0302344,0.00720625
-2.063e-06,0.02625,0.00704687
-2.062e-06,0.0182031,0.00272812
-2.061e-06,0.0222656,0.00432812
-2.060e-06,0.0222656,0.00400937
-2.059e-06,0.0302344,0.00720625
-2.058e-06,0.02625,0.00800625
-2.057e-06,0.02625,0.0100875
-2.056e-06,0.02625,0.00544687
-2.055e-06,0.0182031,0.0104062
-2.054e-06,0.0222656,0.00896562
-2.053e-06,0.0182031,0.0076875
-2.052e-06,0.0182031,0.00672812
-2.051e-06,0.0222656,0.00784687
-2.050e-06,0.02625,0.0076875
-2.049e-06,0.0302344,0.00832812
-2.048e-06,0.0182031,0.00816562
-2.047e-06,0.0302344,0.00592812
-2.046e-06,0.0302344,0.00816562
-2.045e-06,0.02625,0.0068875
-2.044e-06,0.0222656,0.0060875
-2.043e-06,0.02625,0.00512812
-2.042e-06,0.0222656,0.00720625
-2.041e-06,0.0302344,0.00784687
-2.040e-06,0.0302344,0.0110469
-2.039e-06,0.0302344,0.00816562
-2.038e-06,0.0222656,0.00352812
-2.037e-06,0.0222656,0.00656875
-2.036e-06,0.0222656,0.00896562
-2.035e-06,0.0342187,0.0084875
-2.034e-06,0.0222656,0.0044875
-2.033e-06,0.0222656,0.00544687
-2.032e-06,0.02625,0.00752812
-2.031e-06,0.0302344,0.00880625
-2.030e-06,0.0182031,0.00624687
-2.029e-06,0.0222656,0.00800625
-2.028e-06,0.02625,0.00496875
-2.027e-06,0.0182031,0.00480937
-2.026e-06,0.0302344,0.0092875
-2.025e-06,0.0342187,0.0104062
-2.024e-06,0.0222656,0.00880625
-2.023e-06,0.02625,0.00400937
-2.022e-06,0.02625,0.00304687
-2.021e-06,0.0302344,0.00416875
-2.020e-06,0.0302344,0.0068875
-2.019e-06,0.0302344,0.00560625
-2.018e-06,0.02625,0.00624687
-2.017e-06,0.0222656,0.00720625
-2.016e-06,0.0302344,0.00944687
-2.015e-06,0.02625,0.00816562
-2.014e-06,0.0222656,0.00496875
-2.013e-06,0.0342187,0.00225
-2.012e-06,0.02625,0.00464687
-2.011e-06,0.02625,0.00464687
-2.010e-06,0.0302344,0.00432812
-2.009e-06,0.0302344,0.0060875
-2.008e-06,0.0302344,0.00672812
-2.007e-06,0.0222656,0.0060875
-2.006e-06,0.02625,0.00672812
-2.005e-06,0.02625,0.0102469
-2.004e-06,0.0182031,0.00560625
-2.003e-06,0.02625,0.00464687
-2.002e-06,0.0302344,0.00752812
-2.001e-06,0.02625,0.00656875
-2.000e-06,0.0302344,0.00880625
-1.999e-06,0.02625,0.0052875
-1.998e-06,0.0222656,0.00640625
-1.997e-06,0.0222656,0.00256875
-1.996e-06,0.0222656,0.00816562
-1.995e-06,0.0222656,0.0068875
-1.994e-06,0.02625,0.00416875
-1.993e-06,0.0222656,0.00544687
-1.992e-06,0.02625,0.0076875
-1.991e-06,0.0222656,0.00576875
-1.990e-06,0.0222656,0.00640625
-1.989e-06,0.0142187,0.00272812
-1.988e-06,0.02625,0.00336875
-1.987e-06,0.02625,0.00736875
-1.986e-06,0.02625,0.00672812
-1.985e-06,0.0222656,0.00592812
-1.984e-06,0.0142187,0.00672812
-1.983e-06,0.0182031,0.00752812
-1.982e-06,0.0102344,0.00352812
-1.981e-06,0.0222656,0.00352812
-1.980e-06,0.0182031,0.00592812
-1.979e-06,0.02625,0.00752812
-1.978e-06,0.0182031,0.00432812
-1.977e-06,0.0222656,0.00336875
-1.976e-06,0.0342187,0.0036875
-1.975e-06,0.0222656,0.00544687
-1.974e-06,0.0222656,0.00736875
-1.973e-06,0.0222656,0.00832812
-1.972e-06,0.0222656,0.00624687
-1.971e-06,0.0222656,0.00800625
-1.970e-06,0.0222656,0.00640625
-1.969e-06,0.0222656,0.00432812
-1.968e-06,0.02625,0.00464687
-1.967e-06,0.02625,0.00544687
-1.966e-06,0.02625,0.00496875
-1.965e-06,0.0222656,0.00880625
-1.964e-06,0.0142187,0.00544687
-1.963e-06,0.02625,0.00592812
-1.962e-06,0.02625,0.0076875
-1.961e-06,0.0222656,0.00736875
-1.960e-06,0.02625,0.00880625
-1.959e-06,0.0222656,0.00304687
-1.958e-06,0.02625,0.00304687
-1.957e-06,0.02625,0.00400937
-1.956e-06,0.02625,0.00864687
-1.955e-06,0.02625,0.00816562
-1.954e-06,0.0222656,0.00816562
-1.953e-06,0.02625,0.00640625
-1.952e-06,0.0302344,0.00640625
-1.951e-06,0.0302344,0.00624687
-1.950e-06,0.02625,0.00672812
-1.949e-06,0.02625,0.0060875
-1.948e-06,0.02625,0.00640625
-1.947e-06,0.0222656,0.00704687
-1.946e-06,0.0222656,0.00576875
-1.945e-06,0.0222656,0.00784687
-1.944e-06,0.02625,0.00944687
-1.943e-06,0.02625,0.00880625
-1.942e-06,0.0302344,0.00832812
-1.941e-06,0.0342187,0.00672812
-1.940e-06,0.0182031,0.00672812
-1.939e-06,0.0302344,0.00464687
-1.938e-06,0.0342187,0.0052875
-1.937e-06,0.0222656,0.00384687
-1.936e-06,0.0182031,0.00560625
-1.935e-06,0.0302344,0.0068875
-1.934e-06,0.0302344,0.0084875
-1.933e-06,0.02625,0.0102469
-1.932e-06,0.0222656,0.00592812
-1.931e-06,0.02625,0.00592812
-1.930e-06,0.0302344,0.00912812
-1.929e-06,0.02625,0.00656875
-1.928e-06,0.02625,0.00704687
-1.927e-06,0.0222656,0.00480937
-1.926e-06,0.0302344,0.00560625
-1.925e-06,0.0222656,0.00960625
-1.924e-06,0.0222656,0.0084875
-1.923e-06,0.0222656,0.00944687
-1.922e-06,0.0222656,0.0060875
-1.921e-06,0.02625,0.00464687
-1.920e-06,0.02625,0.00992812
-1.919e-06,0.02625,0.00896562
-1.918e-06,0.0182031,0.00704687
-1.917e-06,0.0222656,0.00464687
-1.916e-06,0.0302344,0.0068875
-1.915e-06,0.0222656,0.010725
-1.914e-06,0.0222656,0.00912812
-1.913e-06,0.0302344,0.00624687
-1.912e-06,0.0302344,0.00800625
-1.911e-06,0.02625,0.00736875
-1.910e-06,0.0182031,0.00800625
-1.909e-06,0.0302344,0.00784687
-1.908e-06,0.0222656,0.00496875
-1.907e-06,0.0302344,0.0020875
-1.906e-06,0.0302344,0.00496875
-1.905e-06,0.0302344,0.00704687
-1.904e-06,0.02625,0.00944687
-1.903e-06,0.02625,0.0116875
-1.902e-06,0.02625,0.0060875
-1.901e-06,0.0302344,0.00864687
-1.900e-06,0.02625,0.0068875
-1.899e-06,0.02625,0.00736875
-1.898e-06,0.0302344,0.00320937
-1.897e-06,0.0302344,0.00320937
-1.896e-06,0.0302344,0.00640625
-1.895e-06,0.02625,0.0142469
-1.894e-06,0.0222656,0.00864687
-1.893e-06,0.0302344,0.00704687
-1.892e-06,0.02625,0.00480937
-1.891e-06,0.02625,0.00544687
-1.890e-06,0.0302344,0.00592812
-1.889e-06,0.0342187,0.00640625
-1.888e-06,0.0342187,0.00736875
-1.887e-06,0.02625,0.00800625
-1.886e-06,0.02625,0.00976562
-1.885e-06,0.0302344,0.0076875
-1.884e-06,0.0302344,0.0060875
-1.883e-06,0.02625,0.00720625
-1.882e-06,0.02625,0.00864687
-1.881e-06,0.02625,0.00656875
-1.880e-06,0.0302344,0.0052875
-1.879e-06,0.0302344,0.00752812
-1.878e-06,0.02625,0.00640625
-1.877e-06,0.02625,0.00336875
-1.876e-06,0.02625,0.0044875
-1.875e-06,0.02625,0.00480937
-1.874e-06,0.0222656,0.00624687
-1.873e-06,0.0222656,0.00736875
-1.872e-06,0.0222656,0.00640625
-1.871e-06,0.0302344,0.00752812
-1.870e-06,0.0182031,0.00672812
-1.869e-06,0.0222656,0.00720625
-1.868e-06,0.0302344,0.00672812
-1.867e-06,0.0302344,0.00672812
-1.866e-06,0.0182031,0.00400937
-1.865e-06,0.0182031,0.00544687
-1.864e-06,0.0182031,0.00320937
-1.863e-06,0.0302344,0.00560625
-1.862e-06,0.0302344,0.0044875
-1.861e-06,0.0182031,0.00176875
-1.860e-06,0.0182031,0.00336875
-1.859e-06,0.0302344,0.00640625
-1.858e-06,0.02625,0.00672812
-1.857e-06,0.0302344,0.0060875
-1.856e-06,0.02625,0.00624687
-1.855e-06,0.0302344,0.00640625
-1.854e-06,0.02625,0.00544687
-1.853e-06,0.0382031,0.00720625
-1.852e-06,0.02625,0.00560625
-1.851e-06,0.0222656,0.00544687
-1.850e-06,0.0302344,0.00560625
-1.849e-06,0.02625,0.00560625
-1.848e-06,0.02625,0.00640625
-1.847e-06,0.0222656,0.00752812
-1.846e-06,0.0182031,0.0068875
-1.845e-06,0.02625,0.00976562
-1.844e-06,0.0342187,0.00624687
-1.843e-06,0.02625,0.00416875
-1.842e-06,0.0342187,0.00384687
-1.841e-06,0.0182031,0.00496875
-1.840e-06,0.0222656,0.00576875
-1.839e-06,0.0182031,0.00832812
-1.838e-06,0.0342187,0.0060875
-1.837e-06,0.02625,0.00896562
-1.836e-06,0.02625,0.00720625
-1.835e-06,0.02625,0.00544687
-1.834e-06,0.02625,0.00496875
-1.833e-06,0.02625,0.0044875
-1.832e-06,0.0182031,0.0020875
-1.831e-06,0.0182031,0.00736875
-1.830e-06,0.0222656,0.00880625
-1.829e-06,0.0222656,0.00912812
-1.828e-06,0.0182031,0.00832812
-1.827e-06,0.02625,0.00624687
-1.826e-06,0.02625,0.00720625
-1.825e-06,0.0182031,0.00896562
-1.824e-06,0.0182031,0.00944687
-1.823e-06,0.0182031,0.00912812
-1.822e-06,0.0302344,0.00416875
-1.821e-06,0.02625,0.00576875
-1.820e-06,0.0222656,0.00560625
-1.819e-06,0.0222656,0.0052875
-1.818e-06,0.02625,0.0100875
-1.817e-06,0.02625,0.00944687
-1.816e-06,0.0302344,0.00944687
-1.815e-06,0.0142187,0.0108875
-1.814e-06,0.0222656,0.00896562
-1.813e-06,0.0222656,0.00640625
-1.812e-06,0.0222656,0.0036875
-1.811e-06,0.02625,0.00496875
-1.810e-06,0.0222656,0.00864687
-1.809e-06,0.02625,0.0076875
-1.808e-06,0.0302344,0.00592812
-1.807e-06,0.0222656,0.00816562
-1.806e-06,0.0222656,0.0052875
-1.805e-06,0.02625,0.00640625
-1.804e-06,0.0302344,0.00576875
-1.803e-06,0.02625,0.00704687
-1.802e-06,0.0302344,0.0076875
-1.801e-06,0.0222656,0.00544687
-1.800e-06,0.0302344,0.00640625
-1.799e-06,0.0342187,0.010725
-1.798e-06,0.0222656,0.0100875
-1.797e-06,0.02625,0.0092875
-1.796e-06,0.02625,0.0092875
-1.795e-06,0.02625,0.00656875
-1.794e-06,0.02625,0.00512812
-1.793e-06,0.0222656,0.00624687
-1.792e-06,0.0182031,0.00192812
-1.791e-06,0.0302344,0.00896562
-1.790e-06,0.02625,0.00752812
-1.789e-06,0.02625,0.0100875
-1.788e-06,0.0302344,0.00704687
-1.787e-06,0.0302344,0.00560625
-1.786e-06,0.0142187,0.00560625
-1.785e-06,0.02625,0.00672812
-1.784e-06,0.0302344,0.0036875
-1.783e-06,0.0142187,0.00672812
-1.782e-06,0.0222656,0.00640625
-1.781e-06,0.0182031,0.0060875
-1.780e-06,0.02625,0.010725
-1.779e-06,0.0182031,0.0084875
-1.778e-06,0.0222656,0.00576875
-1.777e-06,0.0302344,0.00240937
-1.776e-06,0.0302344,0.0052875
-1.775e-06,0.0222656,0.00704687
-1.774e-06,0.0222656,0.00944687
-1.773e-06,0.02625,0.00816562
-1.772e-06,0.02625,0.00384687
-1.771e-06,0.0222656,0.00640625
-1.770e-06,0.0222656,0.00880625
-1.769e-06,0.0222656,0.00896562
-1.768e-06,0.02625,0.0076875
-1.767e-06,0.02625,0.00640625
-1.766e-06,0.02625,0.00464687
-1.765e-06,0.0302344,0.00656875
-1.764e-06,0.0302344,0.0052875
-1.763e-06,0.0342187,0.00720625
-1.762e-06,0.0182031,0.0076875
-1.761e-06,0.0222656,0.00800625
-1.760e-06,0.0302344,0.0105656
-1.759e-06,0.02625,0.00896562
-1.758e-06,0.0222656,0.0068875
-1.757e-06,0.0302344,0.00560625
-1.756e-06,0.02625,0.00464687
-1.755e-06,0.02625,0.0076875
-1.754e-06,0.02625,0.0020875
-1.753e-06,0.0222656,0.00416875
-1.752e-06,0.0182031,0.00672812
-1.751e-06,0.0302344,0.00736875
-1.750e-06,0.0302344,0.0076875
-1.749e-06,0.0302344,0.00800625
-1.748e-06,0.0222656,0.00960625
-1.747e-06,0.0302344,0.00336875
-1.746e-06,0.0342187,0.00656875
-1.745e-06,0.02625,0.00592812
-1.744e-06,0.0302344,0.00720625
-1.743e-06,0.0222656,0.00576875
-1.742e-06,0.0302344,0.00864687
-1.741e-06,0.0302344,0.0104062
-1.740e-06,0.0222656,0.0092875
-1.739e-06,0.0142187,0.00800625
-1.738e-06,0.0302344,0.00672812
-1.737e-06,0.0182031,0.00640625
-1.736e-06,0.0222656,0.00384687
-1.735e-06,0.02625,0.00704687
-1.734e-06,0.0342187,0.00560625
-1.733e-06,0.0302344,0.00800625
-1.732e-06,0.0222656,0.00976562
-1.731e-06,0.0382031,0.0105656
-1.730e-06,0.0222656,0.00832812
-1.729e-06,0.0342187,0.0092875
-1.728e-06,0.02625,0.00624687
-1.727e-06,0.0222656,0.00560625
-1.726e-06,0.0222656,0.00464687
-1.725e-06,0.02625,0.0068875
-1.724e-06,0.0302344,0.00592812
-1.723e-06,0.0222656,0.0044875
-1.722e-06,0.0222656,0.00704687
-1.721e-06,0.0222656,0.00816562
-1.720e-06,0.0222656,0.00880625
-1.719e-06,0.02625,0.00624687
-1.718e-06,0.02625,0.00496875
-1.717e-06,0.02625,0.0044875
-1.716e-06,0.0302344,0.00736875
-1.715e-06,0.02625,0.00864687
-1.714e-06,0.02625,0.00992812
-1.713e-06,0.0302344,0.00784687
-1.712e-06,0.02625,0.00736875
-1.711e-06,0.02625,0.00960625
-1.710e-06,0.0302344,0.0104062
-1.709e-06,0.02625,0.00624687
-1.708e-06,0.0302344,0.00512812
-1.707e-06,0.0222656,0.00320937
-1.706e-06,0.0302344,0.00544687
-1.705e-06,0.0302344,0.00544687
-1.704e-06,0.0142187,0.00880625
-1.703e-06,0.02625,0.0084875
-1.702e-06,0.02625,0.00976562
-1.701e-06,0.0222656,0.0102469
-1.700e-06,0.02625,0.0076875
-1.699e-06,0.02625,0.00736875
-1.698e-06,0.0222656,0.0036875
-1.697e-06,0.0302344,0.00432812
-1.696e-06,0.0182031,0.00336875
-1.695e-06,0.0302344,0.00656875
-1.694e-06,0.0222656,0.00736875
-1.693e-06,0.0302344,0.00912812
-1.692e-06,0.0342187,0.0100875
-1.691e-06,0.02625,0.00944687
-1.690e-06,0.02625,0.00672812
-1.689e-06,0.0222656,0.00880625
-1.688e-06,0.0302344,0.00464687
-1.687e-06,0.0222656,0.00256875
-1.686e-06,0.02625,0.00560625
-1.685e-06,0.02625,0.00704687
-1.684e-06,0.0182031,0.0105656
-1.683e-06,0.0302344,0.00864687
-1.682e-06,0.02625,0.0084875
-1.681e-06,0.0302344,0.0092875
-1.680e-06,0.0222656,0.00880625
-1.679e-06,0.02625,0.0076875
-1.678e-06,0.02625,0.00880625
-1.677e-06,0.02625,0.00272812
-1.676e-06,0.02625,0.00656875
-1.675e-06,0.0302344,0.00720625
-1.674e-06,0.02625,0.0100875
-1.673e-06,0.0342187,0.0084875
-1.672e-06,0.0222656,0.00896562
-1.671e-06,0.0302344,0.00976562
-1.670e-06,0.0302344,0.00992812
-1.669e-06,0.0182031,0.00672812
-1.668e-06,0.02625,0.00560625
-1.667e-06,0.0182031,0.00752812
-1.666e-06,0.0222656,0.00496875
-1.665e-06,0.02625,0.00832812
-1.664e-06,0.0222656,0.00560625
-1.663e-06,0.02625,0.00992812
-1.662e-06,0.0302344,0.00896562
-1.661e-06,0.02625,0.00864687
-1.660e-06,0.0222656,0.00704687
-1.659e-06,0.02625,0.00736875
-1.658e-06,0.0182031,0.00784687
-1.657e-06,0.02625,0.00480937
-1.656e-06,0.0222656,0.00672812
-1.655e-06,0.0342187,0.00816562
-1.654e-06,0.02625,0.00720625
-1.653e-06,0.0342187,0.0084875
-1.652e-06,0.0222656,0.00784687
-1.651e-06,0.02625,0.00784687
-1.650e-06,0.0182031,0.0076875
-1.649e-06,0.0222656,0.0084875
-1.648e-06,0.0382031,0.0060875
-1.647e-06,0.0342187,0.00576875
-1.646e-06,0.0182031,0.00480937
-1.645e-06,0.0182031,0.00544687
-1.644e-06,0.02625,0.00544687
-1.643e-06,0.02625,0.00704687
-1.642e-06,0.0182031,0.0092875
-1.641e-06,0.02625,0.00896562
-1.640e-06,0.0302344,0.00544687
-1.639e-06,0.0342187,0.00784687
-1.638e-06,0.0342187,0.00720625
-1.637e-06,0.0222656,0.00432812
-1.636e-06,0.0222656,0.0076875
-1.635e-06,0.0222656,0.00944687
-1.634e-06,0.0222656,0.00720625
-1.633e-06,0.0302344,0.00576875
-1.632e-06,0.0222656,0.00544687
-1.631e-06,0.0342187,0.00432812
-1.630e-06,0.0302344,0.00576875
-1.629e-06,0.0182031,0.00976562
-1.628e-06,0.02625,0.00752812
-1.627e-06,0.0302344,0.00560625
-1.626e-06,0.0302344,0.0044875
-1.625e-06,0.0222656,0.0102469
-1.624e-06,0.02625,0.00880625
-1.623e-06,0.0302344,0.0076875
-1.622e-06,0.02625,0.00656875
-1.621e-06,0.0342187,0.00480937
-1.620e-06,0.02625,0.00784687
-1.619e-06,0.0142187,0.00784687
-1.618e-06,0.0182031,0.00656875
-1.617e-06,0.0302344,0.0052875
-1.616e-06,0.02625,0.00512812
-1.615e-06,0.0302344,0.00480937
-1.614e-06,0.02625,0.0068875
-1.613e-06,0.02625,0.00624687
-1.612e-06,0.02625,0.0060875
-1.611e-06,0.02625,0.00560625
-1.610e-06,0.02625,0.00656875
-1.609e-06,0.0182031,0.00624687
-1.608e-06,0.02625,0.00560625
-1.607e-06,0.0142187,0.00592812
-1.606e-06,0.0222656,0.00800625
-1.605e-06,0.0222656,0.00832812
-1.604e-06,0.0302344,0.00736875
-1.603e-06,0.0222656,0.00512812
-1.602e-06,0.0302344,0.00400937
