time	V(signal)	V(vout)
9.733042801592995e-07	-8.376301e-05	1.703208e-01
9.928355301592996e-07	-8.405092e-05	1.703269e-01
1.000000000000001e-06	-8.415572e-05	1.703292e-01
1.004420830414060e-06	-6.451343e-05	1.703309e-01
1.007693317362359e-06	-2.461466e-05	1.703324e-01
1.010000000000000e-06	1.644244e-05	1.703337e-01
1.013849786587042e-06	9.378116e-05	1.703363e-01
1.014351721969907e-06	1.038483e-04	1.703367e-01
1.015355592735637e-06	1.239758e-04	1.703376e-01
1.015606560427070e-06	1.290052e-04	1.703379e-01
1.016108495809934e-06	1.390622e-04	1.703384e-01
1.017112366575664e-06	1.591662e-04	1.703397e-01
1.017363334267097e-06	1.641897e-04	1.703401e-01
1.017865269649962e-06	1.742349e-04	1.703409e-01
1.018869140415692e-06	1.943154e-04	1.703428e-01
1.019120108107124e-06	1.993330e-04	1.703433e-01
1.019622043489989e-06	2.093665e-04	1.703445e-01
1.020625914255719e-06	2.294235e-04	1.703471e-01
1.020876881947151e-06	2.344352e-04	1.703478e-01
1.021378817330016e-06	2.444570e-04	1.703493e-01
1.022382688095746e-06	2.644905e-04	1.703526e-01
1.022633655787179e-06	2.694964e-04	1.703535e-01
1.023135591170044e-06	2.795064e-04	1.703553e-01
1.024139461935773e-06	2.995165e-04	1.703593e-01
1.024390429627206e-06	3.045166e-04	1.703603e-01
1.024892365010071e-06	3.145149e-04	1.703625e-01
1.025896235775801e-06	3.345016e-04	1.703671e-01
1.026147203467233e-06	3.394958e-04	1.703684e-01
1.026649138850098e-06	3.494824e-04	1.703709e-01
1.027653009615828e-06	3.694458e-04	1.703762e-01
1.027903977307260e-06	3.744341e-04	1.703776e-01
1.028405912690125e-06	3.844091e-04	1.703804e-01
1.029409783455855e-06	4.043491e-04	1.703863e-01
1.029660751147288e-06	4.093316e-04	1.703879e-01
1.030162686530153e-06	4.192949e-04	1.703911e-01
1.031166557295882e-06	4.392116e-04	1.703977e-01
1.031417524987315e-06	4.441883e-04	1.703994e-01
1.031919460370180e-06	4.541400e-04	1.704029e-01
1.032923331135910e-06	4.740334e-04	1.704102e-01
1.033174298827342e-06	4.790042e-04	1.704121e-01
1.033676234210207e-06	4.889443e-04	1.704160e-01
1.034680104975937e-06	5.088144e-04	1.704240e-01
1.034931072667370e-06	5.137795e-04	1.704261e-01
1.035433008050235e-06	5.237079e-04	1.704303e-01
1.036436878815964e-06	5.435548e-04	1.704390e-01
1.036687846507397e-06	5.485141e-04	1.704413e-01
1.037189781890262e-06	5.584309e-04	1.704458e-01
1.038193652655992e-06	5.782546e-04	1.704553e-01
1.038444620347424e-06	5.832081e-04	1.704577e-01
1.038946555730289e-06	5.931134e-04	1.704626e-01
1.039950426496019e-06	6.129139e-04	1.704728e-01
1.040201394187451e-06	6.178616e-04	1.704755e-01
1.040703329570316e-06	6.277552e-04	1.704808e-01
1.041707200336046e-06	6.475327e-04	1.704917e-01
1.041958168027479e-06	6.524746e-04	1.704945e-01
1.042460103410344e-06	6.623567e-04	1.705002e-01
1.043463974176073e-06	6.821110e-04	1.705120e-01
1.043714941867506e-06	6.870471e-04	1.705150e-01
1.044216877250371e-06	6.969177e-04	1.705211e-01
1.045220748016101e-06	7.166489e-04	1.705336e-01
1.045471715707533e-06	7.215793e-04	1.705368e-01
1.045973651090398e-06	7.314383e-04	1.705433e-01
1.046977521856128e-06	7.511465e-04	1.705566e-01
1.047228489547560e-06	7.560711e-04	1.705600e-01
1.047730424930425e-06	7.659186e-04	1.705669e-01
1.048734295696155e-06	7.856038e-04	1.705811e-01
1.048985263387588e-06	7.905227e-04	1.705847e-01
1.049487198770453e-06	8.003587e-04	1.705921e-01
1.050491069536182e-06	8.200209e-04	1.706071e-01
1.050742037227615e-06	8.249339e-04	1.706109e-01
1.051243972610480e-06	8.347585e-04	1.706187e-01
1.052247843376210e-06	8.543977e-04	1.706345e-01
1.052498811067642e-06	8.593051e-04	1.706386e-01
1.053000746450507e-06	8.691181e-04	1.706468e-01
1.054004617216237e-06	8.887344e-04	1.706635e-01
1.054255584907670e-06	8.936360e-04	1.706678e-01
1.054757520290535e-06	9.034377e-04	1.706764e-01
1.055761391056264e-06	9.230311e-04	1.706941e-01
1.056012358747697e-06	9.279269e-04	1.706986e-01
1.056514294130562e-06	9.377171e-04	1.707077e-01
1.057518164896292e-06	9.572876e-04	1.707262e-01
1.057769132587724e-06	9.621778e-04	1.707309e-01
1.058271067970589e-06	9.719565e-04	1.707405e-01
1.059274938736319e-06	9.915042e-04	1.707600e-01
1.059525906427751e-06	9.963887e-04	1.707649e-01
1.060027841810616e-06	1.006156e-03	1.707749e-01
1.061031712576346e-06	1.025681e-03	1.707954e-01
1.061282680267779e-06	1.030560e-03	1.708006e-01
1.061784615650644e-06	1.040315e-03	1.708110e-01
1.062788486416373e-06	1.059818e-03	1.708324e-01
1.063039454107806e-06	1.064691e-03	1.708379e-01
1.063541389490671e-06	1.074435e-03	1.708488e-01
1.064545260256401e-06	1.093914e-03	1.708712e-01
1.064796227947833e-06	1.098782e-03	1.708769e-01
1.065298163330698e-06	1.108515e-03	1.708883e-01
