Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,5.4e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.02
Vertical Position,-1.98,-2.32
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.3120e-06,0.0282031,0.00776875
-4.3100e-06,0.0242187,0.00936875
-4.3080e-06,0.0202344,0.00609062
-4.3060e-06,0.0322656,0.00616875
-4.3040e-06,0.0242187,0.00633125
-4.3020e-06,0.02625,0.00849062
-4.3000e-06,0.0282031,0.00720937
-4.2980e-06,0.0202344,0.00433125
-4.2960e-06,0.0282031,0.00712812
-4.2940e-06,0.0242187,0.00689062
-4.2920e-06,0.02625,0.00856875
-4.2900e-06,0.0242187,0.00520937
-4.2880e-06,0.0182031,0.00776875
-4.2860e-06,0.0202344,0.00416875
-4.2840e-06,0.0202344,0.00785
-4.2820e-06,0.0182031,0.00729062
-4.2800e-06,0.0242187,0.00760937
-4.2780e-06,0.0242187,0.00736875
-4.2760e-06,0.0282031,0.00585
-4.2740e-06,0.0242187,0.00720937
-4.2720e-06,0.02625,0.00776875
-4.2700e-06,0.0282031,0.00609062
-4.2680e-06,0.0242187,0.00696875
-4.2660e-06,0.02625,0.00616875
-4.2640e-06,0.02625,0.00633125
-4.2620e-06,0.02625,0.00600937
-4.2600e-06,0.0302344,0.00696875
-4.2580e-06,0.0282031,0.00752812
-4.2560e-06,0.0282031,0.00649062
-4.2540e-06,0.0242187,0.00616875
-4.2520e-06,0.0302344,0.00872812
-4.2500e-06,0.0222656,0.00480937
-4.2480e-06,0.0222656,0.00912812
-4.2460e-06,0.0242187,0.00816875
-4.2440e-06,0.0182031,0.00912812
-4.2420e-06,0.0222656,0.00656875
-4.2400e-06,0.0202344,0.00513125
-4.2380e-06,0.02625,0.00553125
-4.2360e-06,0.0282031,0.00609062
-4.2340e-06,0.0202344,0.00840937
-4.2320e-06,0.0282031,0.00736875
-4.2300e-06,0.0222656,0.00520937
-4.2280e-06,0.0242187,0.00656875
-4.2260e-06,0.0242187,0.00385
-4.2240e-06,0.0242187,0.00593125
-4.2220e-06,0.01625,0.00896875
-4.2200e-06,0.0222656,0.00600937
-4.2180e-06,0.0182031,0.00609062
-4.2160e-06,0.02625,0.00560937
-4.2140e-06,0.02625,0.00393125
-4.2120e-06,0.02625,0.00593125
-4.2100e-06,0.0242187,0.00736875
-4.2080e-06,0.0282031,0.00776875
-4.2060e-06,0.0242187,0.00569062
-4.2040e-06,0.0242187,0.00545
-4.2020e-06,0.0222656,0.00393125
-4.2000e-06,0.0202344,0.00569062
-4.1980e-06,0.0282031,0.00520937
-4.1960e-06,0.0182031,0.00769062
-4.1940e-06,0.0202344,0.00680937
-4.1920e-06,0.0282031,0.00553125
-4.1900e-06,0.0182031,0.00520937
-4.1880e-06,0.0222656,0.00792812
-4.1860e-06,0.0242187,0.00640937
-4.1840e-06,0.0182031,0.00785
-4.1820e-06,0.0242187,0.00736875
-4.1800e-06,0.0222656,0.00656875
-4.1780e-06,0.02625,0.00536875
-4.1760e-06,0.0282031,0.00640937
-4.1740e-06,0.0242187,0.00720937
-4.1720e-06,0.0282031,0.00825
-4.1700e-06,0.02625,0.00649062
-4.1680e-06,0.0282031,0.00649062
-4.1660e-06,0.0282031,0.00616875
-4.1640e-06,0.0182031,0.00585
-4.1620e-06,0.0302344,0.00633125
-4.1600e-06,0.0242187,0.0092875
-4.1580e-06,0.0242187,0.00576875
-4.1560e-06,0.02625,0.00705
-4.1540e-06,0.02625,0.00553125
-4.1520e-06,0.0222656,0.00745
-4.1500e-06,0.0282031,0.00600937
-4.1480e-06,0.0302344,0.00672812
-4.1460e-06,0.0242187,0.00792812
-4.1440e-06,0.0242187,0.00433125
-4.1420e-06,0.02625,0.00769062
-4.1400e-06,0.0202344,0.00809062
-4.1380e-06,0.0282031,0.00705
-4.1360e-06,0.0202344,0.00769062
-4.1340e-06,0.0242187,0.00465
-4.1320e-06,0.02625,0.0092875
-4.1300e-06,0.02625,0.00800937
-4.1280e-06,0.0242187,0.00585
-4.1260e-06,0.0282031,0.00696875
-4.1240e-06,0.0282031,0.00752812
-4.1220e-06,0.02625,0.00656875
-4.1200e-06,0.0222656,0.00832812
-4.1180e-06,0.0242187,0.00560937
-4.1160e-06,0.0222656,0.00800937
-4.1140e-06,0.0222656,0.00720937
-4.1120e-06,0.0222656,0.00640937
-4.1100e-06,0.0222656,0.00769062
-4.1080e-06,0.0242187,0.00696875
-4.1060e-06,0.02625,0.00616875
-4.1040e-06,0.0242187,0.00640937
-4.1020e-06,0.0302344,0.00736875
-4.1000e-06,0.02625,0.00809062
-4.0980e-06,0.02625,0.00633125
-4.0960e-06,0.0222656,0.00633125
-4.0940e-06,0.0282031,0.00689062
-4.0920e-06,0.0202344,0.00609062
-4.0900e-06,0.0302344,0.00672812
-4.0880e-06,0.0222656,0.00745
-4.0860e-06,0.0302344,0.00672812
-4.0840e-06,0.0202344,0.00745
-4.0820e-06,0.0222656,0.00712812
-4.0800e-06,0.0202344,0.00736875
-4.0780e-06,0.0242187,0.00625
-4.0760e-06,0.0222656,0.00705
-4.0740e-06,0.0182031,0.00752812
-4.0720e-06,0.0202344,0.00736875
-4.0700e-06,0.0242187,0.00656875
-4.0680e-06,0.0242187,0.00712812
-4.0660e-06,0.0282031,0.00545
-4.0640e-06,0.0242187,0.00800937
-4.0620e-06,0.0242187,0.00696875
-4.0600e-06,0.0242187,0.00809062
-4.0580e-06,0.0222656,0.00640937
-4.0560e-06,0.0302344,0.00680937
-4.0540e-06,0.0222656,0.00752812
-4.0520e-06,0.02625,0.00705
-4.0500e-06,0.0242187,0.00752812
-4.0480e-06,0.01625,0.00665
-4.0460e-06,0.02625,0.00665
-4.0440e-06,0.02625,0.00816875
-4.0420e-06,0.0282031,0.00696875
-4.0400e-06,0.02625,0.00769062
-4.0380e-06,0.0242187,0.00696875
-4.0360e-06,0.02625,0.00792812
-4.0340e-06,0.0222656,0.00625
-4.0320e-06,0.0202344,0.00656875
-4.0300e-06,0.02625,0.00633125
-4.0280e-06,0.0282031,0.00633125
-4.0260e-06,0.0282031,0.00720937
-4.0240e-06,0.0202344,0.00720937
-4.0220e-06,0.0282031,0.00696875
-4.0200e-06,0.0282031,0.00672812
-4.0180e-06,0.0242187,0.00672812
-4.0160e-06,0.0242187,0.00680937
-4.0140e-06,0.0242187,0.00520937
-4.0120e-06,0.0222656,0.00760937
-4.0100e-06,0.0202344,0.00360937
-4.0080e-06,0.0242187,0.00785
-4.0060e-06,0.0242187,0.00792812
-4.0040e-06,0.0222656,0.00433125
-4.0020e-06,0.0222656,0.00585
-4.0000e-06,0.0242187,0.00505
-3.9980e-06,0.01625,0.00760937
-3.9960e-06,0.0242187,0.00705
-3.9940e-06,0.0242187,0.00680937
-3.9920e-06,0.0182031,0.00752812
-3.9900e-06,0.0222656,0.00409062
-3.9880e-06,0.02625,0.00769062
-3.9860e-06,0.0182031,0.00649062
-3.9840e-06,0.0242187,0.00920937
-3.9820e-06,0.0222656,0.00600937
-3.9800e-06,0.0242187,0.00473125
-3.9780e-06,0.01625,0.00560937
-3.9760e-06,0.0242187,0.00560937
-3.9740e-06,0.02625,0.00849062
-3.9720e-06,0.0182031,0.00649062
-3.9700e-06,0.0222656,0.00560937
-3.9680e-06,0.0182031,0.00680937
-3.9660e-06,0.0242187,0.00489062
-3.9640e-06,0.0222656,0.00640937
-3.9620e-06,0.02625,0.00689062
-3.9600e-06,0.0222656,0.00872812
-3.9580e-06,0.02625,0.00736875
-3.9560e-06,0.0282031,0.00560937
-3.9540e-06,0.0202344,0.00736875
-3.9520e-06,0.0222656,0.00305
-3.9500e-06,0.0242187,0.00553125
-3.9480e-06,0.0242187,0.00616875
-3.9460e-06,0.0182031,0.00816875
-3.9440e-06,0.0142187,0.00872812
-3.9420e-06,0.0242187,0.00337187
-3.9400e-06,0.0222656,0.00520937
-3.9380e-06,0.0222656,0.00745
-3.9360e-06,0.0222656,0.00385
-3.9340e-06,0.0242187,0.0101687
-3.9320e-06,0.02625,0.00889062
-3.9300e-06,0.0182031,0.00656875
-3.9280e-06,0.0242187,0.00185
-3.9260e-06,0.0242187,0.00377187
-3.9240e-06,0.0222656,0.0092875
-3.9220e-06,0.0302344,0.00945
-3.9200e-06,0.0202344,0.00760937
-3.9180e-06,0.0222656,0.00440937
-3.9160e-06,0.0282031,0.00249062
-3.9140e-06,0.0242187,0.00600937
-3.9120e-06,0.0202344,0.00840937
-3.9100e-06,0.0282031,0.00680937
-3.9080e-06,0.0202344,0.00289062
-3.9060e-06,0.0242187,0.00440937
-3.9040e-06,0.02625,0.00696875
-3.9020e-06,0.02625,0.00560937
-3.9000e-06,0.0242187,0.00625
-3.8980e-06,0.0202344,0.00633125
-3.8960e-06,0.0242187,0.00689062
-3.8940e-06,0.02625,0.00689062
-3.8920e-06,0.0222656,0.00489062
-3.8900e-06,0.02625,0.00576875
-3.8880e-06,0.0202344,0.00712812
-3.8860e-06,0.0202344,0.00769062
-3.8840e-06,0.0302344,0.00416875
-3.8820e-06,0.0202344,0.00536875
-3.8800e-06,0.0282031,0.00616875
-3.8780e-06,0.0222656,0.00736875
-3.8760e-06,0.02625,0.00680937
-3.8740e-06,0.0142187,0.00600937
-3.8720e-06,0.01625,0.00840937
-3.8700e-06,0.0242187,0.00536875
-3.8680e-06,0.0242187,0.00593125
-3.8660e-06,0.0202344,0.00760937
-3.8640e-06,0.0222656,0.00593125
-3.8620e-06,0.01625,0.00480937
-3.8600e-06,0.0182031,0.00680937
-3.8580e-06,0.0202344,0.00785
-3.8560e-06,0.0222656,0.00553125
-3.8540e-06,0.0222656,0.00353125
-3.8520e-06,0.0222656,0.00656875
-3.8500e-06,0.0282031,0.00760937
-3.8480e-06,0.0302344,0.00889062
-3.8460e-06,0.0222656,0.00649062
-3.8440e-06,0.0222656,0.00496875
-3.8420e-06,0.0222656,0.00865
-3.8400e-06,0.01625,0.00360937
-3.8380e-06,0.0222656,0.00505
-3.8360e-06,0.0242187,0.00809062
-3.8340e-06,0.0222656,0.00377187
-3.8320e-06,0.0242187,0.00720937
-3.8300e-06,0.0202344,0.00649062
-3.8280e-06,0.0282031,0.00473125
-3.8260e-06,0.0182031,0.00769062
-3.8240e-06,0.0182031,0.00560937
-3.8220e-06,0.0202344,0.00912812
-3.8200e-06,0.0222656,0.00520937
-3.8180e-06,0.0182031,0.00560937
-3.8160e-06,0.01625,0.00840937
-3.8140e-06,0.0222656,0.00729062
-3.8120e-06,0.0242187,0.00649062
-3.8100e-06,0.0222656,0.00480937
-3.8080e-06,0.0202344,0.00849062
-3.8060e-06,0.0242187,0.00712812
-3.8040e-06,0.02625,0.00513125
-3.8020e-06,0.0182031,0.00433125
-3.8000e-06,0.0182031,0.00360937
-3.7980e-06,0.01625,0.00625
-3.7960e-06,0.0202344,0.00816875
-3.7940e-06,0.0222656,0.00633125
-3.7920e-06,0.0242187,0.00872812
-3.7900e-06,0.0282031,0.00505
-3.7880e-06,0.02625,0.00816875
-3.7860e-06,0.02625,0.00496875
-3.7840e-06,0.0222656,0.00633125
-3.7820e-06,0.0282031,0.00536875
-3.7800e-06,0.0302344,0.00912812
-3.7780e-06,0.0182031,0.00752812
-3.7760e-06,0.0202344,0.00560937
-3.7740e-06,0.0202344,0.00473125
-3.7720e-06,0.01625,0.00809062
-3.7700e-06,0.02625,0.00776875
-3.7680e-06,0.0202344,0.00705
-3.7660e-06,0.0142187,0.00672812
-3.7640e-06,0.0202344,0.00649062
-3.7620e-06,0.02625,0.00545
-3.7600e-06,0.0202344,0.00729062
-3.7580e-06,0.0242187,0.00600937
-3.7560e-06,0.0202344,0.00729062
-3.7540e-06,0.02625,0.00409062
-3.7520e-06,0.02625,0.00520937
-3.7500e-06,0.02625,0.00760937
-3.7480e-06,0.0242187,0.00705
-3.7460e-06,0.0202344,0.00480937
-3.7440e-06,0.0222656,0.00553125
-3.7420e-06,0.0202344,0.00393125
-3.7400e-06,0.0202344,0.00840937
-3.7380e-06,0.01625,0.00489062
-3.7360e-06,0.01625,0.00465
-3.7340e-06,0.0182031,0.00720937
-3.7320e-06,0.0242187,0.00496875
-3.7300e-06,0.0182031,0.00545
-3.7280e-06,0.0222656,0.00513125
-3.7260e-06,0.0202344,0.00465
-3.7240e-06,0.0242187,0.00520937
-3.7220e-06,0.0242187,0.00496875
-3.7200e-06,0.0282031,0.00480937
-3.7180e-06,0.0242187,0.00529062
-3.7160e-06,0.02625,0.00529062
-3.7140e-06,0.0302344,0.00576875
-3.7120e-06,0.0222656,0.00593125
-3.7100e-06,0.0242187,0.00633125
-3.7080e-06,0.02625,0.00593125
-3.7060e-06,0.0222656,0.00489062
-3.7040e-06,0.02625,0.00473125
-3.7020e-06,0.0222656,0.00680937
-3.7000e-06,0.02625,0.00473125
-3.6980e-06,0.0222656,0.00513125
-3.6960e-06,0.0222656,0.00496875
-3.6940e-06,0.0242187,0.00520937
-3.6920e-06,0.0282031,0.00712812
-3.6900e-06,0.0222656,0.00560937
-3.6880e-06,0.02625,0.00856875
-3.6860e-06,0.0242187,0.00489062
-3.6840e-06,0.0202344,0.00600937
-3.6820e-06,0.0222656,0.00496875
-3.6800e-06,0.0242187,0.00513125
-3.6780e-06,0.02625,0.00665
-3.6760e-06,0.0242187,0.00585
-3.6740e-06,0.0242187,0.00425
-3.6720e-06,0.0242187,0.00769062
-3.6700e-06,0.0222656,0.00385
-3.6680e-06,0.0182031,0.00600937
-3.6660e-06,0.0222656,0.00513125
-3.6640e-06,0.0222656,0.00616875
-3.6620e-06,0.02625,0.00593125
-3.6600e-06,0.0282031,0.00480937
-3.6580e-06,0.0202344,0.00625
-3.6560e-06,0.0222656,0.00553125
-3.6540e-06,0.0242187,0.00616875
-3.6520e-06,0.0182031,0.00609062
-3.6500e-06,0.0222656,0.00720937
-3.6480e-06,0.0182031,0.00769062
-3.6460e-06,0.0202344,0.00656875
-3.6440e-06,0.0242187,0.00593125
-3.6420e-06,0.01625,0.00545
-3.6400e-06,0.01625,0.00752812
-3.6380e-06,0.0242187,0.00440937
-3.6360e-06,0.0202344,0.00680937
-3.6340e-06,0.0202344,0.00776875
-3.6320e-06,0.01625,0.00529062
-3.6300e-06,0.0202344,0.00672812
-3.6280e-06,0.0202344,0.00473125
-3.6260e-06,0.0182031,0.00649062
-3.6240e-06,0.02625,0.00705
-3.6220e-06,0.0202344,0.00480937
-3.6200e-06,0.0222656,0.00689062
-3.6180e-06,0.0242187,0.00409062
-3.6160e-06,0.0242187,0.00633125
-3.6140e-06,0.0202344,0.00625
-3.6120e-06,0.0242187,0.00649062
-3.6100e-06,0.0242187,0.00696875
-3.6080e-06,0.0222656,0.00600937
-3.6060e-06,0.0242187,0.00640937
-3.6040e-06,0.0242187,0.00513125
-3.6020e-06,0.0222656,0.00640937
-3.6000e-06,0.0222656,0.00665
-3.5980e-06,0.0242187,0.00369062
-3.5960e-06,0.0222656,0.00712812
-3.5940e-06,0.02625,0.00449062
-3.5920e-06,0.0222656,0.00633125
-3.5900e-06,0.0222656,0.00785
-3.5880e-06,0.02625,0.00825
-3.5860e-06,0.0182031,0.00785
-3.5840e-06,0.0242187,0.00600937
-3.5820e-06,0.0182031,0.00560937
-3.5800e-06,0.0242187,0.00545
-3.5780e-06,0.01625,0.00776875
-3.5760e-06,0.0242187,0.00856875
-3.5740e-06,0.0202344,0.00265
-3.5720e-06,0.0242187,0.00912812
-3.5700e-06,0.0222656,0.00800937
-3.5680e-06,0.02625,0.00680937
-3.5660e-06,0.01625,0.00809062
-3.5640e-06,0.0202344,0.00616875
-3.5620e-06,0.0182031,0.00865
-3.5600e-06,0.0222656,0.00257187
-3.5580e-06,0.0182031,0.00865
-3.5560e-06,0.0182031,0.00576875
-3.5540e-06,0.0242187,0.00816875
-3.5520e-06,0.0242187,0.00729062
-3.5500e-06,0.0182031,0.00416875
-3.5480e-06,0.0202344,0.00785
-3.5460e-06,0.0182031,0.00649062
-3.5440e-06,0.0222656,0.00745
-3.5420e-06,0.0242187,0.00792812
-3.5400e-06,0.0202344,0.00745
-3.5380e-06,0.0202344,0.00712812
-3.5360e-06,0.02625,0.00433125
-3.5340e-06,0.0222656,0.00872812
-3.5320e-06,0.0242187,0.00649062
-3.5300e-06,0.0242187,0.00689062
-3.5280e-06,0.02625,0.00680937
-3.5260e-06,0.0322656,0.00640937
-3.5240e-06,0.02625,0.00553125
-3.5220e-06,0.02625,0.00593125
-3.5200e-06,0.0222656,0.00705
-3.5180e-06,0.0222656,0.00545
-3.5160e-06,0.0242187,0.00752812
-3.5140e-06,0.0182031,0.00496875
-3.5120e-06,0.0242187,0.00712812
-3.5100e-06,0.0242187,0.00745
-3.5080e-06,0.0202344,0.00689062
-3.5060e-06,0.0222656,0.00545
-3.5040e-06,0.0222656,0.00456875
-3.5020e-06,0.0222656,0.00785
-3.5000e-06,0.0282031,0.00529062
-3.4980e-06,0.0182031,0.00720937
-3.4960e-06,0.0222656,0.00712812
-3.4940e-06,0.0222656,0.00625
-3.4920e-06,0.0202344,0.00809062
-3.4900e-06,0.0242187,0.00513125
-3.4880e-06,0.02625,0.00609062
-3.4860e-06,0.0242187,0.00529062
-3.4840e-06,0.0222656,0.00609062
-3.4820e-06,0.0182031,0.00633125
-3.4800e-06,0.0202344,0.00816875
-3.4780e-06,0.0182031,0.00633125
-3.4760e-06,0.0222656,0.00440937
-3.4740e-06,0.0182031,0.00672812
-3.4720e-06,0.01625,0.00776875
-3.4700e-06,0.0222656,0.00752812
-3.4680e-06,0.0142187,0.00569062
-3.4660e-06,0.01625,0.00480937
-3.4640e-06,0.0182031,0.00825
-3.4620e-06,0.01625,0.00345
-3.4600e-06,0.0222656,0.00840937
-3.4580e-06,0.0202344,0.00593125
-3.4560e-06,0.0202344,0.00473125
-3.4540e-06,0.0202344,0.00920937
-3.4520e-06,0.0182031,0.00729062
-3.4500e-06,0.0242187,0.00505
-3.4480e-06,0.0222656,0.00280937
-3.4460e-06,0.0242187,0.00705
-3.4440e-06,0.0222656,0.00849062
-3.4420e-06,0.0242187,0.00585
-3.4400e-06,0.02625,0.00545
-3.4380e-06,0.02625,0.00625
-3.4360e-06,0.0282031,0.00640937
-3.4340e-06,0.0282031,0.00680937
-3.4320e-06,0.0242187,0.0100875
-3.4300e-06,0.0242187,0.00465
-3.4280e-06,0.0242187,0.00752812
-3.4260e-06,0.0242187,0.00640937
-3.4240e-06,0.02625,0.00649062
-3.4220e-06,0.02625,0.00880937
-3.4200e-06,0.0222656,0.00536875
-3.4180e-06,0.02625,0.00905
-3.4160e-06,0.0302344,0.00625
-3.4140e-06,0.0282031,0.00600937
-3.4120e-06,0.02625,0.00809062
-3.4100e-06,0.0222656,0.00425
-3.4080e-06,0.0282031,0.00625
-3.4060e-06,0.0242187,0.00680937
-3.4040e-06,0.0282031,0.00809062
-3.4020e-06,0.02625,0.00800937
-3.4000e-06,0.0242187,0.00593125
-3.3980e-06,0.02625,0.00489062
-3.3960e-06,0.0222656,0.00640937
-3.3940e-06,0.0242187,0.00505
-3.3920e-06,0.0302344,0.00952812
-3.3900e-06,0.0242187,0.00585
-3.3880e-06,0.0242187,0.00520937
-3.3860e-06,0.0202344,0.00769062
-3.3840e-06,0.0222656,0.00769062
-3.3820e-06,0.0242187,0.00616875
-3.3800e-06,0.0222656,0.00609062
-3.3780e-06,0.02625,0.00513125
-3.3760e-06,0.0242187,0.00593125
-3.3740e-06,0.0202344,0.00600937
-3.3720e-06,0.0242187,0.00712812
-3.3700e-06,0.0222656,0.00505
-3.3680e-06,0.0222656,0.00569062
-3.3660e-06,0.0222656,0.00785
-3.3640e-06,0.0242187,0.00729062
-3.3620e-06,0.0242187,0.00569062
-3.3600e-06,0.0222656,0.00489062
-3.3580e-06,0.02625,0.00480937
-3.3560e-06,0.0222656,0.00752812
-3.3540e-06,0.0222656,0.00712812
-3.3520e-06,0.0242187,0.00593125
-3.3500e-06,0.0182031,0.00656875
-3.3480e-06,0.0202344,0.00785
-3.3460e-06,0.0242187,0.00289062
-3.3440e-06,0.0242187,0.00545
-3.3420e-06,0.0242187,0.00656875
-3.3400e-06,0.0182031,0.00880937
-3.3380e-06,0.0222656,0.00505
-3.3360e-06,0.0242187,0.00633125
-3.3340e-06,0.0222656,0.00665
-3.3320e-06,0.0182031,0.00600937
-3.3300e-06,0.0222656,0.00840937
-3.3280e-06,0.0242187,0.00865
-3.3260e-06,0.02625,0.00473125
-3.3240e-06,0.0242187,0.00856875
-3.3220e-06,0.0122656,0.00393125
-3.3200e-06,0.02625,0.00689062
-3.3180e-06,0.0222656,0.00785
-3.3160e-06,0.0282031,0.00720937
-3.3140e-06,0.02625,0.00752812
-3.3120e-06,0.0222656,0.00609062
-3.3100e-06,0.01625,0.00633125
-3.3080e-06,0.0222656,0.00545
-3.3060e-06,0.0222656,0.00712812
-3.3040e-06,0.0242187,0.00689062
-3.3020e-06,0.0282031,0.00769062
-3.3000e-06,0.0242187,0.00513125
-3.2980e-06,0.0222656,0.00425
-3.2960e-06,0.0242187,0.00665
-3.2940e-06,0.0302344,0.00696875
-3.2920e-06,0.0222656,0.00616875
-3.2900e-06,0.0222656,0.00720937
-3.2880e-06,0.0242187,0.00600937
