Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-06
Horizontal Delay,2.09e-06
Sample Interval,1e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.7
,
,
,
Label,
TIME,CH1
-2.910e-06,0.000625
-2.909e-06,0.00273437
-2.908e-06,0.00695313
-2.907e-06,0.0003125
-2.906e-06,7.8125e-05
-2.905e-06,0.00140625
-2.904e-06,0.0015625
-2.903e-06,0.00164062
-2.902e-06,0.00210937
-2.901e-06,0.00078125
-2.900e-06,0.00140625
-2.899e-06,0.00234375
-2.898e-06,0.00296875
-2.897e-06,-0.00289063
-2.896e-06,0.000234375
-2.895e-06,-0.001875
-2.894e-06,-0.0025
-2.893e-06,0.00179687
-2.892e-06,0.00117187
-2.891e-06,0.000703125
-2.890e-06,0.00132813
-2.889e-06,0.00421875
-2.888e-06,0.004375
-2.887e-06,0.00289062
-2.886e-06,0.00445312
-2.885e-06,0.00273437
-2.884e-06,-0.00484375
-2.883e-06,-0.000546875
-2.882e-06,0
-2.881e-06,0.00257812
-2.880e-06,-0.00046875
-2.879e-06,0.00203125
-2.878e-06,0.00195312
-2.877e-06,0.00179687
-2.876e-06,0.00171875
-2.875e-06,-0.0025
-2.874e-06,-0.000625
-2.873e-06,0.000234375
-2.872e-06,-0.00125
-2.871e-06,0.00304688
-2.870e-06,-0.00273438
-2.869e-06,-0.0028125
-2.868e-06,-0.000234375
-2.867e-06,0.000703125
-2.866e-06,0.00179687
-2.865e-06,-0.00015625
-2.864e-06,7.8125e-05
-2.863e-06,0.0065625
-2.862e-06,0.00210937
-2.861e-06,-0.000703125
-2.860e-06,0.00335937
-2.859e-06,-0.003125
-2.858e-06,-0.00335938
-2.857e-06,0.00257812
-2.856e-06,0.00195312
-2.855e-06,-0.000625
-2.854e-06,-0.00125
-2.853e-06,-0.000703125
-2.852e-06,-0.00289063
-2.851e-06,-0.00117188
-2.850e-06,0.00390625
-2.849e-06,0.00078125
-2.848e-06,0.00242187
-2.847e-06,-0.000859375
-2.846e-06,0.000703125
-2.845e-06,0.00078125
-2.844e-06,-0.00078125
-2.843e-06,0.0003125
-2.842e-06,0.00226562
-2.841e-06,0.00046875
-2.840e-06,0.00179687
-2.839e-06,0.0021875
-2.838e-06,0.00109375
-2.837e-06,0.00460937
-2.836e-06,-0.000390625
-2.835e-06,0.00234375
-2.834e-06,-0.00078125
-2.833e-06,-0.000390625
-2.832e-06,0.00015625
-2.831e-06,0.001875
-2.830e-06,0.00195312
-2.829e-06,-0.00304688
-2.828e-06,-0.00164063
-2.827e-06,0.00625
-2.826e-06,0.00328125
-2.825e-06,0.00375
-2.824e-06,0.00242187
-2.823e-06,0.00171875
-2.822e-06,0.000546875
-2.821e-06,0.00515625
-2.820e-06,0.000234375
-2.819e-06,-0.000625
-2.818e-06,-0.00148438
-2.817e-06,0.0021875
-2.816e-06,0.000859375
-2.815e-06,0.000703125
-2.814e-06,0
-2.813e-06,-0.00164063
-2.812e-06,0.00296875
-2.811e-06,0.00242187
-2.810e-06,0.000859375
-2.809e-06,0.0003125
-2.808e-06,0.00101562
-2.807e-06,0.00117187
-2.806e-06,0.0015625
-2.805e-06,0.000703125
-2.804e-06,0.00257812
-2.803e-06,-0.00273438
-2.802e-06,0.00125
-2.801e-06,0.000625
-2.800e-06,-0.00179688
-2.799e-06,0.00203125
-2.798e-06,-0.00101563
-2.797e-06,0.00101562
-2.796e-06,7.8125e-05
-2.795e-06,0.00234375
-2.794e-06,0.000625
-2.793e-06,0.003125
-2.792e-06,-0.00117188
-2.791e-06,-0.0003125
-2.790e-06,0.00140625
-2.789e-06,0
-2.788e-06,0.001875
-2.787e-06,-0.00195312
-2.786e-06,-0.0003125
-2.785e-06,0
-2.784e-06,-0.000546875
-2.783e-06,0.00265625
-2.782e-06,7.8125e-05
-2.781e-06,-0.0003125
-2.780e-06,-0.00078125
-2.779e-06,0.00265625
-2.778e-06,0.00421875
-2.777e-06,0.00320312
-2.776e-06,0.00132813
-2.775e-06,0.00289062
-2.774e-06,0.00148437
-2.773e-06,0.00273437
-2.772e-06,-0.000390625
-2.771e-06,0.00335937
-2.770e-06,0.00234375
-2.769e-06,-0.00101563
-2.768e-06,-0.00382813
-2.767e-06,0.00304688
-2.766e-06,0.0015625
-2.765e-06,-0.00117188
-2.764e-06,-0.0015625
-2.763e-06,0.00476562
-2.762e-06,0.00179687
-2.761e-06,0
-2.760e-06,-0.001875
-2.759e-06,-0.000859375
-2.758e-06,0.00234375
-2.757e-06,0.00078125
-2.756e-06,0.0021875
-2.755e-06,0.00273437
-2.754e-06,-0.00078125
-2.753e-06,-0.00078125
-2.752e-06,0.00242187
-2.751e-06,0.00710937
-2.750e-06,0.000625
-2.749e-06,0.0034375
-2.748e-06,0.00257812
-2.747e-06,0.0046875
-2.746e-06,-0.00046875
-2.745e-06,0.0009375
-2.744e-06,0.00148437
-2.743e-06,-0.0034375
-2.742e-06,0.00101562
-2.741e-06,0.000625
-2.740e-06,0.00359375
-2.739e-06,0.000859375
-2.738e-06,0.00046875
-2.737e-06,0.00078125
-2.736e-06,-0.00195312
-2.735e-06,-0.0009375
-2.734e-06,0.00265625
-2.733e-06,0.00078125
-2.732e-06,0.0003125
-2.731e-06,-0.000625
-2.730e-06,-7.8125e-05
-2.729e-06,0.00117187
-2.728e-06,0.000859375
-2.727e-06,-0.000390625
-2.726e-06,-7.8125e-05
-2.725e-06,-0.000859375
-2.724e-06,-0.00242188
-2.723e-06,0.00195312
-2.722e-06,0.00335937
-2.721e-06,0.00148437
-2.720e-06,0.0015625
-2.719e-06,0.00164062
-2.718e-06,-0.000625
-2.717e-06,0.003125
-2.716e-06,0.00015625
-2.715e-06,0.00179687
-2.714e-06,0.00257812
-2.713e-06,0.0021875
-2.712e-06,0.000390625
-2.711e-06,-0.00046875
-2.710e-06,-0.000390625
-2.709e-06,-0.0003125
-2.708e-06,0.000390625
-2.707e-06,-0.0015625
-2.706e-06,0.0015625
-2.705e-06,0.0003125
-2.704e-06,0.00304688
-2.703e-06,0.00148437
-2.702e-06,0.00460937
-2.701e-06,0.00109375
-2.700e-06,-0.000859375
-2.699e-06,0.00179687
-2.698e-06,-0.00164063
-2.697e-06,0.00304688
-2.696e-06,0.0003125
-2.695e-06,-0.00179688
-2.694e-06,0.00078125
-2.693e-06,-0.00117188
-2.692e-06,-0.00382813
-2.691e-06,0.0025
-2.690e-06,0.00132813
-2.689e-06,0.00109375
-2.688e-06,-0.00078125
-2.687e-06,-0.00117188
-2.686e-06,0.00195312
-2.685e-06,0.0003125
-2.684e-06,0.005
-2.683e-06,0.00078125
-2.682e-06,0.000625
-2.681e-06,0.00109375
-2.680e-06,-0.000625
-2.679e-06,-0.0009375
-2.678e-06,-0.00242188
-2.677e-06,-0.00578125
-2.676e-06,0.0021875
-2.675e-06,0.00109375
-2.674e-06,0
-2.673e-06,0.00546875
-2.672e-06,0.00257812
-2.671e-06,0.00046875
-2.670e-06,0.00390625
-2.669e-06,-0.00210938
-2.668e-06,-0.004375
-2.667e-06,0.00296875
-2.666e-06,0.00179687
-2.665e-06,0.0040625
-2.664e-06,0.00539062
-2.663e-06,0.00359375
-2.662e-06,0.000234375
-2.661e-06,0.000703125
-2.660e-06,-0.000625
-2.659e-06,0.0003125
-2.658e-06,-0.0025
-2.657e-06,-7.8125e-05
-2.656e-06,0.0021875
-2.655e-06,-7.8125e-05
-2.654e-06,0.0015625
-2.653e-06,0.000859375
-2.652e-06,0.00117187
-2.651e-06,-0.00171875
-2.650e-06,-0.00164063
-2.649e-06,-0.00109375
-2.648e-06,0.000546875
-2.647e-06,0.00046875
-2.646e-06,-0.00210938
-2.645e-06,-0.000859375
-2.644e-06,0.00265625
-2.643e-06,-0.0003125
-2.642e-06,0.00296875
-2.641e-06,0.004375
-2.640e-06,0.00164062
-2.639e-06,-0.00179688
-2.638e-06,0.00289062
-2.637e-06,-7.8125e-05
-2.636e-06,0.00382812
-2.635e-06,0.000546875
-2.634e-06,0.000859375
-2.633e-06,0.00203125
-2.632e-06,-0.000859375
-2.631e-06,0.000234375
-2.630e-06,0.00289062
-2.629e-06,0.00234375
-2.628e-06,0.000625
-2.627e-06,-0.00015625
-2.626e-06,0.00382812
-2.625e-06,0.000703125
-2.624e-06,-0.003125
-2.623e-06,-0.0009375
-2.622e-06,0.00265625
-2.621e-06,0.000390625
-2.620e-06,0.0003125
-2.619e-06,0.000703125
-2.618e-06,-0.00195312
-2.617e-06,-0.005625
-2.616e-06,0.00476562
-2.615e-06,0.00125
-2.614e-06,0.00242187
-2.613e-06,-0.00367187
-2.612e-06,0.00226562
-2.611e-06,-0.000703125
-2.610e-06,-0.000625
-2.609e-06,0.0025
-2.608e-06,0.005
-2.607e-06,0.00398437
-2.606e-06,0.00398437
-2.605e-06,0.0040625
-2.604e-06,0.00335937
-2.603e-06,0.0015625
-2.602e-06,-0.00140625
-2.601e-06,-0.0003125
-2.600e-06,0.00125
-2.599e-06,0.00164062
-2.598e-06,-0.0025
-2.597e-06,0.000859375
-2.596e-06,0.00289062
-2.595e-06,0.000390625
-2.594e-06,-0.00140625
-2.593e-06,0.00265625
-2.592e-06,0.00140625
-2.591e-06,0.00132813
-2.590e-06,-0.00171875
-2.589e-06,0.003125
-2.588e-06,0.00015625
-2.587e-06,-7.8125e-05
-2.586e-06,0.000703125
-2.585e-06,0.000703125
-2.584e-06,0.0028125
-2.583e-06,-0.000859375
-2.582e-06,-0.00132813
-2.581e-06,0.000625
-2.580e-06,-0.00046875
-2.579e-06,0.00125
-2.578e-06,0.000546875
-2.577e-06,0.00109375
-2.576e-06,-0.000390625
-2.575e-06,0.00273437
-2.574e-06,-0.00171875
-2.573e-06,0.00117187
-2.572e-06,0.00210937
-2.571e-06,0.00265625
-2.570e-06,0.00109375
-2.569e-06,0.00210937
-2.568e-06,0.000859375
-2.567e-06,0.00046875
-2.566e-06,0.00429687
-2.565e-06,0.000703125
-2.564e-06,0.00078125
-2.563e-06,0.00101562
-2.562e-06,0.00304688
-2.561e-06,-0.000234375
-2.560e-06,-0.00078125
-2.559e-06,0.00195312
-2.558e-06,0.00242187
-2.557e-06,-0.00117188
-2.556e-06,-0.00210938
-2.555e-06,-0.00046875
-2.554e-06,-0.0009375
-2.553e-06,0.00117187
-2.552e-06,0.00289062
-2.551e-06,0.00101562
-2.550e-06,0.00148437
-2.549e-06,0.0009375
-2.548e-06,-0.0015625
-2.547e-06,0.00179687
-2.546e-06,-0.0021875
-2.545e-06,0.0015625
-2.544e-06,0.00101562
-2.543e-06,0.00078125
-2.542e-06,0.00132813
-2.541e-06,0.00265625
-2.540e-06,0.00390625
-2.539e-06,-0.00257812
-2.538e-06,-0.000859375
-2.537e-06,0.00125
-2.536e-06,0.00101562
-2.535e-06,0.00140625
-2.534e-06,-0.00226563
-2.533e-06,-0.000546875
-2.532e-06,0.000703125
-2.531e-06,0.00351562
-2.530e-06,0.00515625
-2.529e-06,0.00117187
-2.528e-06,0.00304688
-2.527e-06,0.00171875
-2.526e-06,-0.00164063
-2.525e-06,0.00195312
-2.524e-06,0.00476562
-2.523e-06,7.8125e-05
-2.522e-06,-0.00015625
-2.521e-06,0.00117187
-2.520e-06,-0.000625
-2.519e-06,-0.00046875
-2.518e-06,-0.0009375
-2.517e-06,0.00460937
-2.516e-06,0.00078125
-2.515e-06,0.00226562
-2.514e-06,-0.000234375
-2.513e-06,0.0015625
-2.512e-06,0.0040625
-2.511e-06,-0.0009375
-2.510e-06,0.0034375
-2.509e-06,-0.00015625
-2.508e-06,0.00203125
-2.507e-06,-7.8125e-05
-2.506e-06,-0.00046875
-2.505e-06,0.00148437
-2.504e-06,-0.00125
-2.503e-06,0.001875
-2.502e-06,-0.00195312
-2.501e-06,0.000234375
-2.500e-06,0.00351562
-2.499e-06,0.00117187
-2.498e-06,-0.00148438
-2.497e-06,-0.00015625
-2.496e-06,0.00148437
-2.495e-06,-0.0025
-2.494e-06,-7.8125e-05
-2.493e-06,-0.00179688
-2.492e-06,0.001875
-2.491e-06,0.00109375
-2.490e-06,-0.00078125
-2.489e-06,0.003125
-2.488e-06,-7.8125e-05
-2.487e-06,-0.00226563
-2.486e-06,0.000546875
-2.485e-06,0.00015625
-2.484e-06,-0.00195312
-2.483e-06,0.00398437
-2.482e-06,-0.00109375
-2.481e-06,0.00257812
-2.480e-06,0.0034375
-2.479e-06,0.00546875
-2.478e-06,-0.00109375
-2.477e-06,0.00140625
-2.476e-06,-0.00242188
-2.475e-06,0
-2.474e-06,0.00351562
-2.473e-06,0.0003125
-2.472e-06,-0.00164063
-2.471e-06,0.00273437
-2.470e-06,0.005
-2.469e-06,0.000859375
-2.468e-06,-0.00046875
-2.467e-06,0.000703125
-2.466e-06,0.0025
-2.465e-06,-0.000546875
-2.464e-06,0.0009375
-2.463e-06,0.00296875
-2.462e-06,-0.00445313
-2.461e-06,-0.00046875
-2.460e-06,-0.00289063
-2.459e-06,0.00367187
-2.458e-06,-0.00359375
-2.457e-06,0.00101562
-2.456e-06,0.00078125
-2.455e-06,0.00125
-2.454e-06,0.0003125
-2.453e-06,-0.000390625
-2.452e-06,-0.00164063
-2.451e-06,0.0053125
-2.450e-06,0.00078125
-2.449e-06,0.00335937
-2.448e-06,-0.00148438
-2.447e-06,0.000625
-2.446e-06,0.00164062
-2.445e-06,0.00210937
-2.444e-06,0.00203125
-2.443e-06,-0.00109375
-2.442e-06,0.00328125
-2.441e-06,0.00125
-2.440e-06,0.00429687
-2.439e-06,-0.00226563
-2.438e-06,-0.00179688
-2.437e-06,0
-2.436e-06,0.00351562
-2.435e-06,0.00226562
-2.434e-06,0.0003125
-2.433e-06,0.00101562
-2.432e-06,0.0009375
-2.431e-06,-0.00195312
-2.430e-06,0.00476562
-2.429e-06,0.0025
-2.428e-06,0.00109375
-2.427e-06,0.000546875
-2.426e-06,-0.00078125
-2.425e-06,-0.000859375
-2.424e-06,-0.00179688
-2.423e-06,0.00015625
-2.422e-06,0.00140625
-2.421e-06,0.00046875
-2.420e-06,0.0028125
-2.419e-06,0.00171875
-2.418e-06,0.00289062
-2.417e-06,0.00296875
-2.416e-06,0.000390625
-2.415e-06,0.00117187
-2.414e-06,-0.00226563
-2.413e-06,0.00140625
-2.412e-06,0.00132813
-2.411e-06,-0.00242188
-2.410e-06,0.00109375
-2.409e-06,0.00335937
-2.408e-06,-0.0009375
-2.407e-06,-0.00257812
-2.406e-06,0.0040625
-2.405e-06,-0.000703125
-2.404e-06,0.0025
-2.403e-06,0.00078125
-2.402e-06,0.00367187
-2.401e-06,0.00109375
-2.400e-06,-0.000234375
-2.399e-06,-7.8125e-05
-2.398e-06,0.00148437
-2.397e-06,0.00203125
-2.396e-06,-0.000390625
-2.395e-06,0.00046875
-2.394e-06,-0.0003125
-2.393e-06,-0.001875
-2.392e-06,0.0021875
-2.391e-06,0.00078125
-2.390e-06,-0.00171875
-2.389e-06,0.005625
-2.388e-06,0.001875
-2.387e-06,-7.8125e-05
-2.386e-06,-0.00109375
-2.385e-06,-0.00015625
-2.384e-06,0.00125
-2.383e-06,0.00375
-2.382e-06,0.000859375
-2.381e-06,0.00328125
-2.380e-06,-0.00171875
-2.379e-06,-0.004375
-2.378e-06,0.00296875
-2.377e-06,-0.00109375
-2.376e-06,-0.00046875
-2.375e-06,0.00109375
-2.374e-06,7.8125e-05
-2.373e-06,0.000859375
-2.372e-06,-0.00234375
-2.371e-06,0.000546875
-2.370e-06,0.00265625
-2.369e-06,0.004375
-2.368e-06,-0.00015625
-2.367e-06,0.00140625
-2.366e-06,0.00226562
-2.365e-06,-0.00078125
-2.364e-06,7.8125e-05
-2.363e-06,-0.00046875
-2.362e-06,-0.00226563
-2.361e-06,-0.000625
-2.360e-06,0.00296875
-2.359e-06,-0.0015625
-2.358e-06,0.00125
-2.357e-06,-0.00328125
-2.356e-06,0.00078125
-2.355e-06,-0.00179688
-2.354e-06,0.00203125
-2.353e-06,0.00265625
-2.352e-06,0.0009375
-2.351e-06,0.00195312
-2.350e-06,0.00046875
-2.349e-06,0.0025
-2.348e-06,0.00226562
-2.347e-06,0.00117187
-2.346e-06,0.00179687
-2.345e-06,-0.000546875
-2.344e-06,0.00265625
-2.343e-06,0.000390625
-2.342e-06,0.001875
-2.341e-06,-0.00179688
-2.340e-06,0.00601562
-2.339e-06,0.00578125
-2.338e-06,0.00421875
-2.337e-06,-0.00101563
-2.336e-06,0.00320312
-2.335e-06,0.00179687
-2.334e-06,-0.00257812
-2.333e-06,0.000703125
-2.332e-06,0.00375
-2.331e-06,0.0034375
-2.330e-06,-0.000390625
-2.329e-06,-0.00257812
-2.328e-06,-0.000859375
-2.327e-06,0.00101562
-2.326e-06,0.00078125
-2.325e-06,0.0015625
