time	V(vout)	V(vout2)
2.677734200172421e-09	1.259264e-01	1.642441e+00
2.689452949407312e-09	1.259264e-01	1.642438e+00
2.712890447877092e-09	1.259264e-01	1.642432e+00
2.759765444816653e-09	1.259264e-01	1.642420e+00
2.771484194051543e-09	1.259264e-01	1.642416e+00
2.794921692521324e-09	1.259264e-01	1.642410e+00
2.841796689460885e-09	1.259264e-01	1.642398e+00
2.853515438695775e-09	1.259264e-01	1.642394e+00
2.876952937165556e-09	1.259264e-01	1.642388e+00
2.923827934105117e-09	1.259265e-01	1.642376e+00
2.935546683340007e-09	1.259265e-01	1.642372e+00
2.958984181809787e-09	1.259265e-01	1.642366e+00
2.964843556427232e-09	1.259265e-01	1.642365e+00
2.976562305662123e-09	1.259265e-01	1.642361e+00
2.999999804131903e-09	1.259265e-01	1.642355e+00
3.046874801071464e-09	1.259265e-01	1.642342e+00
3.058593550306354e-09	1.259265e-01	1.642339e+00
3.082031048776135e-09	1.259265e-01	1.642333e+00
3.128906045715696e-09	1.259266e-01	1.642320e+00
3.140624794950586e-09	1.259266e-01	1.642317e+00
3.164062293420367e-09	1.259266e-01	1.642310e+00
3.210937290359928e-09	1.259266e-01	1.642297e+00
3.222656039594818e-09	1.259266e-01	1.642294e+00
3.246093538064598e-09	1.259266e-01	1.642287e+00
3.292968535004159e-09	1.259266e-01	1.642274e+00
3.304687284239050e-09	1.259266e-01	1.642271e+00
3.328124782708830e-09	1.259267e-01	1.642265e+00
3.374999779648391e-09	1.259267e-01	1.642252e+00
3.386718528883281e-09	1.259267e-01	1.642249e+00
3.410156027353062e-09	1.259267e-01	1.642242e+00
3.457031024292623e-09	1.259267e-01	1.642229e+00
3.468749773527513e-09	1.259267e-01	1.642226e+00
3.492187271997294e-09	1.259267e-01	1.642219e+00
3.539062268936854e-09	1.259267e-01	1.642207e+00
3.550781018171745e-09	1.259268e-01	1.642203e+00
3.574218516641525e-09	1.259268e-01	1.642197e+00
3.621093513581086e-09	1.259268e-01	1.642184e+00
3.632812262815976e-09	1.259268e-01	1.642181e+00
3.656249761285757e-09	1.259268e-01	1.642174e+00
3.703124758225318e-09	1.259268e-01	1.642161e+00
3.714843507460208e-09	1.259268e-01	1.642158e+00
3.738281005929989e-09	1.259269e-01	1.642152e+00
3.785156002869550e-09	1.259269e-01	1.642139e+00
3.796874752104440e-09	1.259269e-01	1.642136e+00
3.820312250574220e-09	1.259269e-01	1.642130e+00
3.867187247513781e-09	1.259269e-01	1.642117e+00
3.878905996748672e-09	1.259269e-01	1.642114e+00
3.902343495218452e-09	1.259269e-01	1.642107e+00
3.949218492158013e-09	1.259270e-01	1.642095e+00
3.960937241392903e-09	1.259270e-01	1.642091e+00
3.984374739862684e-09	1.259270e-01	1.642085e+00
4.031249736802245e-09	1.259270e-01	1.642072e+00
4.042968486037135e-09	1.259270e-01	1.642069e+00
4.066405984506916e-09	1.259270e-01	1.642063e+00
4.113280981446477e-09	1.259270e-01	1.642050e+00
4.124999730681367e-09	1.259271e-01	1.642047e+00
4.148437229151147e-09	1.259271e-01	1.642041e+00
4.195312226090708e-09	1.259271e-01	1.642028e+00
4.207030975325599e-09	1.259271e-01	1.642025e+00
4.230468473795379e-09	1.259271e-01	1.642019e+00
4.277343470734940e-09	1.259271e-01	1.642007e+00
4.289062219969830e-09	1.259272e-01	1.642004e+00
4.312499718439611e-09	1.259272e-01	1.641997e+00
4.359374715379172e-09	1.259272e-01	1.641985e+00
4.371093464614062e-09	1.259272e-01	1.641982e+00
4.394530963083843e-09	1.259272e-01	1.641976e+00
4.400390337701288e-09	1.259272e-01	1.641974e+00
4.412109086936178e-09	1.259272e-01	1.641971e+00
4.435546585405958e-09	1.259272e-01	1.641965e+00
4.482421582345519e-09	1.259273e-01	1.641952e+00
4.494140331580410e-09	1.259273e-01	1.641949e+00
4.517577830050190e-09	1.259273e-01	1.641943e+00
4.564452826989751e-09	1.259273e-01	1.641931e+00
4.576171576224641e-09	1.259273e-01	1.641928e+00
4.599609074694422e-09	1.259273e-01	1.641921e+00
4.646484071633983e-09	1.259273e-01	1.641909e+00
4.658202820868873e-09	1.259274e-01	1.641906e+00
4.681640319338654e-09	1.259274e-01	1.641900e+00
4.728515316278215e-09	1.259274e-01	1.641887e+00
4.740234065513105e-09	1.259274e-01	1.641884e+00
4.763671563982885e-09	1.259274e-01	1.641878e+00
4.810546560922446e-09	1.259274e-01	1.641866e+00
4.822265310157337e-09	1.259274e-01	1.641863e+00
4.845702808627117e-09	1.259275e-01	1.641857e+00
4.892577805566678e-09	1.259275e-01	1.641845e+00
4.904296554801568e-09	1.259275e-01	1.641842e+00
4.927734053271349e-09	1.259275e-01	1.641835e+00
4.974609050210910e-09	1.259276e-01	1.641823e+00
4.986327799445800e-09	1.259276e-01	1.641820e+00
5.009765297915580e-09	1.259276e-01	1.641814e+00
5.056640294855141e-09	1.259276e-01	1.641802e+00
5.068359044090032e-09	1.259276e-01	1.641799e+00
5.091796542559812e-09	1.259276e-01	1.641793e+00
5.138671539499373e-09	1.259276e-01	1.641782e+00
5.150390288734263e-09	1.259277e-01	1.641779e+00
5.173827787204044e-09	1.259277e-01	1.641773e+00
5.220702784143605e-09	1.259277e-01	1.641761e+00
5.232421533378495e-09	1.259277e-01	1.641758e+00
5.255859031848276e-09	1.259277e-01	1.641752e+00
5.302734028787837e-09	1.259278e-01	1.641741e+00
5.314452778022727e-09	1.259278e-01	1.641738e+00
